(134,D,86, 移进 )
(134,E,135, 移进 )
(134,K,88, 移进 )
(134,L,89, 移进 )
(134,T,90, 移进 )
(134,W,91, 移进 )
(134,X,92, 移进 )
(134,2,93, 移进 )
(134,c,29, 移进 )
(134,g,30, 移进 )
(134,i,31, 移进 )
(134,k,32, 移进 )
(134,l,33, 移进 )
(134,u,94, 移进 )
(135,},136, 移进 )
(136,},17, 归约 )
